epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,2673.52,1.79174,1.01734,0.8952,0.73401,0.6803,0.68961,0.29818,1.92913,1.11792,0.87929,0.0005942,0.0005942,0.0005942
73,2706.48,1.77625,1.04986,0.89778,0.69712,0.62454,0.64258,0.26904,2.02113,1.1694,0.89043,0.0005744,0.0005744,0.0005744
74,2742.29,1.78427,1.02198,0.88799,0.72536,0.65799,0.68025,0.28426,2.01745,1.2188,0.88348,0.0005546,0.0005546,0.0005546
75,2776.81,1.8249,1.04842,0.8961,0.72465,0.64312,0.67855,0.28436,1.95309,1.17946,0.88132,0.0005348,0.0005348,0.0005348
76,2811.44,1.79336,1.03792,0.89258,0.72301,0.64043,0.66565,0.29503,1.8833,1.13919,0.876,0.000515,0.000515,0.000515
77,2843.63,1.74938,0.99573,0.89131,0.73949,0.67286,0.69451,0.27451,1.98483,1.19145,0.87936,0.0004952,0.0004952,0.0004952
78,2877.08,1.80004,1.04183,0.89316,0.66506,0.71004,0.69239,0.29839,1.88301,1.16995,0.87448,0.0004754,0.0004754,0.0004754
79,2914.77,1.78058,1.01682,0.89338,0.70985,0.65428,0.67268,0.29519,1.8749,1.14686,0.87569,0.0004556,0.0004556,0.0004556
80,2953.17,1.72603,0.98437,0.88608,0.73296,0.69888,0.71204,0.31256,1.84179,1.12373,0.86637,0.0004358,0.0004358,0.0004358
81,2989.01,1.77185,1.01807,0.88826,0.70481,0.6746,0.68508,0.29537,1.93009,1.09282,0.88082,0.000416,0.000416,0.000416
82,3021.43,1.73911,0.98644,0.89026,0.71228,0.69145,0.69808,0.31277,1.85288,1.0724,0.86781,0.0003962,0.0003962,0.0003962
83,3058.54,1.75761,1.00606,0.88601,0.67291,0.68773,0.6809,0.30798,1.82644,1.22595,0.8694,0.0003764,0.0003764,0.0003764
84,3093.28,1.74423,0.99167,0.88344,0.75307,0.68025,0.70119,0.33033,1.79518,1.08189,0.86466,0.0003566,0.0003566,0.0003566
85,3125.97,1.72213,0.98252,0.88148,0.70132,0.67213,0.6917,0.31992,1.81867,1.09769,0.86832,0.0003368,0.0003368,0.0003368
86,3160.23,1.76064,0.99614,0.89494,0.71348,0.66651,0.68681,0.31111,1.81608,1.11034,0.86513,0.000317,0.000317,0.000317
87,3191.73,1.72865,0.97173,0.89095,0.72823,0.65428,0.70385,0.31624,1.82659,1.08555,0.86912,0.0002972,0.0002972,0.0002972
88,3224,1.722,0.96667,0.87713,0.75076,0.67286,0.71791,0.32928,1.79003,1.05316,0.86237,0.0002774,0.0002774,0.0002774
89,3255.63,1.73458,0.97142,0.88466,0.74146,0.65035,0.69381,0.32136,1.80569,1.12582,0.86533,0.0002576,0.0002576,0.0002576
90,3290.21,1.69158,0.95421,0.89072,0.70208,0.67658,0.69055,0.31032,1.8437,1.09593,0.87158,0.0002378,0.0002378,0.0002378
91,3326.33,1.7025,0.974,0.88396,0.74997,0.63941,0.6993,0.30779,1.86672,1.08658,0.86855,0.000218,0.000218,0.000218
92,3362.68,1.68904,0.95828,0.8853,0.7657,0.64388,0.71928,0.32399,1.82158,1.06385,0.86872,0.0001982,0.0001982,0.0001982
93,3398.97,1.69765,0.94085,0.88775,0.75713,0.64684,0.71256,0.32769,1.82041,1.05004,0.86879,0.0001784,0.0001784,0.0001784
94,3433.18,1.63015,0.92912,0.86991,0.74388,0.65862,0.71286,0.31822,1.8099,1.07131,0.86458,0.0001586,0.0001586,0.0001586
95,3470.4,1.65746,0.93723,0.87378,0.77108,0.6261,0.70292,0.30484,1.83265,1.06408,0.86793,0.0001388,0.0001388,0.0001388
96,3505.88,1.69025,0.96751,0.87794,0.70399,0.68077,0.71498,0.32095,1.81713,1.03008,0.86832,0.000119,0.000119,0.000119
97,3541.69,1.67048,0.90832,0.88127,0.75027,0.65893,0.71025,0.32081,1.79973,1.04875,0.86547,9.92e-05,9.92e-05,9.92e-05
98,3579.23,1.64931,0.92552,0.87996,0.74323,0.6803,0.7256,0.33133,1.75479,1.02475,0.86156,7.94e-05,7.94e-05,7.94e-05
99,3616.56,1.60997,0.87603,0.88169,0.78288,0.65799,0.72201,0.33765,1.75939,1.01115,0.86137,5.96e-05,5.96e-05,5.96e-05
100,3653.73,1.64846,0.91449,0.88135,0.774,0.66543,0.71705,0.33233,1.77518,1.02611,0.86317,3.98e-05,3.98e-05,3.98e-05
